,Line,Count,Description,Level,Degree,Plea,Disposition,Disposition Date,casenumber
1299,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-16,18001499MMMA
1300,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-16,18001502MMMA
1301,0,1,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-02-13,18001504MMMA
1302,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-09,18001506MMMA
1303,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-10,18001512MMMA
1304,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-10,18001512MMMA
1305,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-06,18001538MMMA
1306,0,1,DISORDERLY INTOXICATION (856011),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-19,18001552MMMO
1307,0,1,DISORDERLY INTOXICATION (856011),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-13,18001556MMMA
1308,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-08,18001558MMMA
1309,0,1,TRESPASS OCCUPIED STRUCTURE OR CONVEYANCE (81008 2b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-27,18001566MMMA
1310,1,2,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-27,18001566MMMA
1311,2,3,DISORDERLY CONDUCT ON THE PREMISES OF AN ESTABLISHMENT; DETENTION; ARREST; IMMUNITY FROM LIABILITY (509143),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-27,18001566MMMA
1312,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-22,18001571MMMO
1313,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-20,18001580MMMA
1314,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-26,18001671MMMA
1315,1,2,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-26,18001671MMMA
1316,2,3,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-26,18001671MMMA
1317,0,2,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,,,,18001681MMMA
1318,1,3,POSS OF PARAPHERNALIA (893147 1),M,F,,,,18001681MMMA
1319,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-23,18001742MMMA
1320,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001753MMMA
1321,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001753MMMA
1322,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-01-29,18001767MMMA
1323,0,1,NO VALID DRIVER'S LICENSE (32203 1a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-10,18001780CTMA
1324,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-26,18001803MMMO
1325,0,1,BATTERY  GENERAL (78403 1a1),M,F,,,,18001805MMMA
1326,1,2,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,,,,18001805MMMA
1327,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18001807MMMO
1328,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001808MMMO
1329,1,2,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001808MMMO
1330,0,1,NO VALID DRIVER'S LICENSE (32203 1a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-11,18001809CTMA
1331,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001815MMMA
1332,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-05,18001832MMMO
1333,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-03-28,18001834MMMO
1334,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-05,18001841MMMA
1335,0,1,POSSESSION OF ALCOHOL ON THE BEACH (9999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-05,18001842MOMS
1336,0,1,POSSESSION OF ALCOHOL ON THE BEACH (9999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-06,18001859MOMS
1337,0,1,CYBERSTALKING-DOMESTIC VIOLENCE (784048 2),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-02,18001897MMMA
1338,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-02,18001952MMMO
1339,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-08,18001957MMMA
1340,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-02,18001958MMMO
1341,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-02,18001958MMMO
1342,0,1,REFUSED OBEY POLICE/FIRE OFFICER (316072 3),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-09,18002029CTMA
1343,0,1,CRIMINAL MISCHIEF GENERAL (80613 1b1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-20,18002035MMMO
1344,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-10,18002039MMMA
1345,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-10,18002039MMMA
1346,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-04,18002060MMMA
1347,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-06,18002071MMMA
1348,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-04,18002077MMMO
1349,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-21,18002082MMMA
1350,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-04,18002083MMMA
1351,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-25,18002088MMMA
1352,0,1,PROSTITUTION OR ASSIGNATION OFFER TO COMMIT (79607),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18002089MMMA
1353,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-27,18002094MMMO
1354,0,1,BATTERY (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-20,18002097MMMA
1355,0,1,LVN SCE ACCIDENT WITH  DAMAGE MORE THAN $50 (316061 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-10-02,18002099CTMA
1356,0,1,TRESPASS AFTER WARNING (81008 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-12,18002119MMMO
1357,0,1,LVN SCE ACCIDENT WITH  DAMAGE MORE THAN $50 (316061 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-18,18002122CTMA
1358,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-06,18002139MOMS
1359,0,1,FAILED TO LEAVE INFORMATION (316063 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18002155CTMA
1360,0,1,MISUSE OF 911 (365172 14),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-09,18002173MMMO
1361,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,,,,18002175CTMA
1362,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-17,18002184MMMA
1363,0,1,NO MOTOR VEHICLE REGISTRATION (32002 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-20,18002215CTMA
1364,0,1,NO VALID DRIVER'S LICENSE (32203 1a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-20,18002216CTMA
1365,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-04-22,18002236MMMA
1366,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-23,18002243MMMA
1367,0,1,CRIMINAL MISCHIEF GENERAL (80613 1b1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-01,18002255MMMA
1368,0,1,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-23,18002290MMMO
1369,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-18,18002306MMMA
1370,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-18,18002306MMMA
1371,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-16,18002307MMMA
1372,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-16,18002307MMMA
1373,0,1,NO VALID DRIVER'S LICENSE (32203 1a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-11,18002309CTMA
1374,0,1,FAILED TO LEAVE INFORMATION (316063 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-09,18002316CTMA
1375,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-21,18002344MMMA
1376,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-09-05,18002355CTMA
1377,0,1,NO VALID DRIVER'S LICENSE (32203 1a),M,F,NO PLEA ENTERED,MENTALLY/PHYSICALLY UNABLE TO STAND TRIAL,2019-06-24,18002360CTMA
1378,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-17,18002360MMMA
1379,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-16,18002361MMMA
1380,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-16,18002361MMMA
1381,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-30,18002410MMMA
1382,0,1,INHALE HARMFUL CHEM SUBST (877111 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-02,18002415MMMA
1383,1,2,INHALE HARMFUL CHEM SUBST (877111 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-02,18002415MMMA
1384,0,1,BATTERY  GENERAL (78403 1a1),M,F,,,,18002493MMMA
1385,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-23,18002500MMMO
1386,1,2,POSSESSION OF PERSCRIPTION DRUG IN UNAUTHORIZED CONTAINER (49903),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-23,18002500MMMO
1387,2,3,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-04-23,18002500MMMO
1388,0,1,LVN SCE ACCIDENT WITH  DAMAGE MORE THAN $50 (316061 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-04,18002530CTMA
1389,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,,,,18002539MMMA
1390,0,1,TRESPASSING GENERAL (81008 2b),M,F,,,,18002559MMMA
1391,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002611MMMO
1392,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002611MMMO
1393,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2021-10-26,18002612MMMO
1394,0,1,ASSAULT (784011),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-06,18002619MMMA
1395,1,2,FAIL TO OBTAIN PERMIT (403161 1b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-06,18002619MMMA
1396,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-16,18002627MMMA
1397,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-16,18002627MMMA
1398,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-09,18002628MMMA
1399,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-09,18002628MMMA
1400,0,1,LVN SCE ACCIDENT WITH  DAMAGE MORE THAN $50 (316061 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-03-20,18002636CTMA
1401,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-17,18002648MMMA
1402,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-16,18002671MMMO
1403,1,2,CRIMINAL MISCHIEF GENERAL (80613 1b1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-16,18002671MMMO
1404,0,1,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-02,18002706MMMA
1405,0,1,BATTERY (DOMESTIC VIOLENCE) (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-24,18002720MMMA
1406,0,1,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-02,18002725MMMO
1407,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-02,18002725MMMO
1408,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-01,18002740MMMA
1409,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-01,18002740MMMA
1410,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002749MMMO
1411,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002749MMMO
1412,0,1,NO VALID DRIVER'S LICENSE (32203 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-01,18002752CTMA
1413,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002755MMMA
1414,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002760MMMA
1415,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2020-02-21,18002763MMMA
1416,0,1,POSSESSION OF DRUG WITHOUT A PRESCRIPTION (49903),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-04,18002771MMMA
1417,0,1,DISORDERLY CONDUCT (87703),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-04,18002786MMMA
1418,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-10-08,18002840MMMA
1419,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-11,18002843MMMA
1420,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-24,18002850MMMA
1421,0,1,RACING ON HIGHWAY (316191 2a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-23,18002897CTMA
1422,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002941MMMA
1423,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002941MMMA
1424,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18002955MMMA
1425,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18002956MMMA
1426,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-11,18002957MMMA
1427,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-14,18002969MMMA
1428,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-16,18002974MMMO
1429,0,1,DRIVING WITHOUT A DRIVER'S LICENSE (32203 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-12-27,18003011CTMA
1430,0,1,ASSAULT ON LAW ENF OFFICER (78407 2a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-19,18003024MMMO
1431,1,2,RESIST OFFICER WITHOUT VIOLENCE (84302),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-19,18003024MMMO
1432,2,3,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-19,18003024MMMO
1433,0,1,RECKLESS DRIVING (316192 1),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-07-18,18003028CTMA
1434,1,2,RACING ON HIGHWAY (316191 2a),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2019-07-18,18003028CTMA
1435,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18003029MMMA
1436,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-08,18003045MMMA
1437,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-10-01,18003052MMMO
1438,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18003053MMMO
1439,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-14,18003064MMMA
1440,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-14,18003064MMMA
1441,0,1,PETIT THEFT (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-08,18003072MMMA
1442,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-08,18003126MMMA
1443,0,1,CONTRIBUTING TO THE DEPENDENCY OF A MINOR (82704 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-22,18003136MMMA
1444,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-23,18003145MMMO
1445,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-23,18003145MMMO
1446,0,1,DISORDERLY CONDUCT (99999999999),L,N,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-23,18003164MOMS
1447,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-08-20,18003167MMMA
1448,0,1,PETIT THEFT (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-21,18003178MMMA
1449,0,1,CNTRL SUBS LESS THAN 20 GRAM MARIJUANA (89313 6b),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18003194MMMA
1450,1,2,POSS OF PARAPHERNALIA (893147 1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18003194MMMA
1451,0,1,DRIVER'S LICENSE SUS/REV - KNOWINGLY (32234 2b),M,F,,,,18003195CTMA
1452,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18003195MMMO
1453,0,1,POSS OF ALCOHOL BY PERSON LESS THAN 21 YEARS OF AGE (562111),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-05-30,18003201MMMO
1454,0,1,BATTERY  GENERAL (78403 1a1),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-09-06,18003216MMMA
1455,0,1,PETIT THEFT (812014 3a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-06-13,18003217MMMA
1456,0,1,RETAIL THEFT (8120152),M,F,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-15,18003221MMMA
1457,0,1,EXPIRED DL (MORE THAN 6 MONTHS) (32203 5),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-11-08,18003236CTMA
1458,0,1,SPEARING RED DRUM (370021 1a),M,S,NO PLEA ENTERED,PRE-TRIAL INVERVENTION\DIVERSION,2018-07-11,18003255MMMA
