,Line,Date,Event,Judge,Location,Result,casenumber
659,0,2017-10-02 08:30:00,DISPOSITION HEARING CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16000521CA
660,1,2016-07-20 14:15:00,HEARING - CIVIL,"OVERSTREET, MICHAEL C",JUDGES CHAMBERS,Not Assigned,16000521CA
661,0,2016-10-12 09:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000534DV
662,0,2017-03-08 13:30:00,CONTINUANCE,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000573DV
663,1,2017-01-18 09:00:00,CONTINUANCE,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000573DV
664,2,2016-11-28 13:30:00,CONTINUANCE,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000573DV
665,3,2016-10-31 13:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000573DV
666,0,2016-12-07 13:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000649DV
667,0,2017-01-30 13:30:00,MOTIONS,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000692DV
668,1,2016-12-28 13:30:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000692DV
669,0,2017-01-06 09:00:00,DOMESTIC VIOLENCE HEARING,"MALLORY, PETER A",JUVENILE JUSTICE WEST COURTROOM,Not Assigned,16000710DV
670,0,2016-09-14 09:00:00,HEARING - CIVIL,"SMILEY, ELIJAH",JUDGES CHAMBERS,Not Assigned,16000711CP
671,0,2016-06-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Pre Trial,16000806CTMA
672,1,2016-05-05 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16000806CTMA
673,2,2016-04-19 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16000806CTMA
674,3,2016-03-09 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16000806CTMA
675,4,2016-03-06 09:00:00,FIRST APPEARANCE,"VANN, SHANE",,Not Assigned,16000806CTMA
676,0,2019-07-10 08:30:00,CHILD SUPPORT,"SPITZER, GRANT ASHLEY",TO BE ANNOUNCED,Not Assigned,16000807DR
677,1,2019-04-08 09:20:00,CHILD SUPPORT,"SPITZER, GRANT ASHLEY",ANNEX CRIMINAL COURTROOM D,Not Assigned,16000807DR
678,0,2016-07-18 08:30:00,JURY TRIAL,"VANN, SHANE",,PLED PRIOR TO COURT,16000937MMMA
679,1,2016-05-05 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16000937MMMA
680,2,2016-04-19 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16000937MMMA
681,3,2016-03-07 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16000937MMMA
682,0,2016-05-12 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",,Failed To Appear,16000966MMMW
683,1,2016-04-21 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16000966MMMW
684,2,2016-03-18 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16000966MMMW
685,3,2016-03-16 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16000966MMMW
686,0,2016-06-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16000979CTMA
687,1,2016-06-14 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16000979CTMA
688,2,2016-04-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16000979CTMA
689,0,2019-03-20 09:00:00,DISPOSITION HEARING CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001071CA
690,0,2018-06-20 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",NO INFORMATION,16001131MMMO
691,1,2018-06-15 14:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",MINI COURTROOM 2ND FLOOR,Not Assigned,16001131MMMO
692,2,2016-03-09 08:30:00,ARRAIGNMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16001131MMMO
693,3,2016-03-07 14:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",MINI COURTROOM 2ND FLOOR,Pre Trial,16001131MMMO
694,0,2017-12-21 13:30:00,HEARING - CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16001165CA
695,1,2017-07-14 13:30:00,HEARING - CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16001165CA
696,2,2017-02-24 08:30:00,HEARING - CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16001165CA
697,3,2017-02-06 15:30:00,HEARING - CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16001165CA
698,4,2016-11-09 13:30:00,HEARING - CIVIL,"OVERSTREET, MICHAEL C",JUDGES CHAMBERS,Not Assigned,16001165CA
699,0,2018-05-29 09:00:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
700,1,2018-04-24 11:15:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
701,2,2017-12-11 09:00:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
702,3,2017-10-18 10:00:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
703,4,2017-09-20 09:15:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
704,5,2017-07-31 10:30:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
705,6,2017-05-10 15:30:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
706,7,2017-05-10 09:30:00,HEARING - CIVIL,"FISHEL, JOHN L II",JUDGES CHAMBERS,Not Assigned,16001307CA
707,8,2017-02-23 09:00:00,HEARING - CIVIL,"SMILEY, ELIJAH",JUDGES CHAMBERS,Not Assigned,16001307CA
708,0,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001322CC
709,1,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001322CC
710,2,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001322CC
711,3,2016-11-10 08:30:00,HEARING - CIVIL,"GRAMMER, JOE","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001322CC
712,4,2016-11-08 10:00:00,HEARING - CIVIL,"GRAMMER, JOE","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001322CC
713,0,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001323CC
714,1,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001323CC
715,2,2016-11-30 09:15:00,HEARING - CIVIL,"WELCH, THOMAS F","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001323CC
716,3,2016-11-09 09:00:00,HEARING - CIVIL,"WELCH, THOMAS F","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001323CC
717,0,2017-07-25 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001324CC
718,1,2017-06-12 09:45:00,HEARING - CIVIL,"CAMPBELL, TIMOTHY CRAIG","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001324CC
719,2,2017-02-27 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001324CC
720,3,2017-01-10 09:00:00,HEARING - CIVIL,"CAMPBELL, TIMOTHY CRAIG","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001324CC
721,4,2016-12-08 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001324CC
722,5,2016-10-19 14:00:00,HEARING - CIVIL,"CAMPBELL, TIMOTHY CRAIG","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001324CC
723,0,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001325CC
724,1,2017-01-03 11:00:00,FORECLOSURE SALES,FORECLOSURE CLERK,ONLINE,CERTIFICATE OF SALE,16001325CC
725,2,2016-11-30 09:15:00,HEARING - CIVIL,"WELCH, THOMAS F","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001325CC
726,3,2016-11-09 09:00:00,HEARING - CIVIL,"WELCH, THOMAS F","JUDGES CHAMBERS, 3RD FLOOR",Not Assigned,16001325CC
727,0,2017-01-09 08:45:00,HEARING - CIVIL,"FENSOM, JAMES B",JUDGES CHAMBERS,Not Assigned,16001340CA
728,0,2016-10-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16001344CTMA
729,1,2016-08-23 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001344CTMA
730,2,2016-06-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001344CTMA
731,3,2016-06-14 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001344CTMA
732,4,2016-04-08 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16001344CTMA
733,0,2016-03-11 08:30:00,ARRAIGNMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16001372MMMO
734,1,2016-03-10 14:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",MINI COURTROOM 2ND FLOOR,Pre Trial,16001372MMMO
735,0,2016-10-27 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16001427MMMO
736,1,2016-09-01 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001427MMMO
737,2,2016-07-07 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001427MMMO
738,3,2016-06-16 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001427MMMO
739,4,2016-04-21 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001427MMMO
740,5,2016-03-14 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16001427MMMO
741,6,2016-03-11 14:00:00,FIRST APPEARANCE,"WELCH, THOMAS F",MINI COURTROOM 2ND FLOOR,Not Assigned,16001427MMMO
742,0,2017-09-20 08:30:00,ARRAIGNMENT,"VANN, SHANE",,No Information filed by SAO,16001435MMMA
743,1,2017-09-17 08:00:00,FIRST APPEARANCE,"CLARK, BRANTLEY SCOTT JR",,Not Assigned,16001435MMMA
744,2,2016-03-23 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,Pre Trial,16001435MMMA
745,0,2016-04-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,DISPOSED D,16001631MMMA
746,0,2016-03-28 13:00:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG",,Failed To Appear,16001704MMMO
747,0,2016-08-23 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",,Failed To Appear,16001883MMMA
748,1,2016-08-09 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16001883MMMA
749,2,2016-06-14 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16001883MMMA
750,3,2016-05-02 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16001883MMMA
751,0,2018-08-13 08:00:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,PLED PRIOR TO COURT,16001924CTMA
752,1,2018-06-26 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
753,2,2018-05-14 08:00:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
754,3,2018-04-17 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
755,4,2018-03-06 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
756,5,2018-01-09 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
757,6,2017-11-14 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
758,7,2017-09-19 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
759,8,2017-07-25 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
760,9,2017-07-11 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
761,10,2017-05-16 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
762,11,2017-03-21 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
763,12,2017-01-24 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16001924CTMA
764,13,2016-11-29 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001924CTMA
765,14,2016-10-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001924CTMA
766,15,2016-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001924CTMA
767,16,2016-08-09 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001924CTMA
768,17,2016-06-01 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16001924CTMA
769,18,2016-05-27 14:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Not Assigned,16001924CTMA
770,0,2016-06-24 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG",,Failed To Appear,16001973CTMA
771,0,2016-03-23 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,PLED PRIOR TO COURT,16001981MMMO
772,1,2016-03-19 08:00:00,FIRST APPEARANCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,16001981MMMO
773,0,2016-12-01 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,PLED PRIOR TO COURT,16001997MMMA
774,1,2016-10-27 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001997MMMA
775,2,2016-09-01 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001997MMMA
776,3,2016-07-07 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16001997MMMA
777,4,2016-06-16 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16001997MMMA
778,5,2016-04-13 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16001997MMMA
779,0,2017-01-24 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,PLED PRIOR TO COURT,16002038MMMO
780,1,2016-11-29 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002038MMMO
781,2,2016-10-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002038MMMO
782,3,2016-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002038MMMO
783,4,2016-08-09 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002038MMMO
784,5,2016-06-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002038MMMO
785,6,2016-06-14 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002038MMMO
786,7,2016-04-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002038MMMO
787,8,2016-04-03 09:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C",COURTHOUSE 2ND FLOOR - WEST,Not Assigned,16002038MMMO
788,0,2016-04-13 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Pre Trial,16002094MMMA
789,0,2016-11-07 08:30:00,JURY TRIAL,"VANN, SHANE",,Failed To Appear,16002095MMMA
790,1,2016-10-04 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16002095MMMA
791,2,2016-09-06 08:30:00,JURY TRIAL,"VANN, SHANE",,Continued,16002095MMMA
792,3,2016-08-23 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002095MMMA
793,4,2016-08-09 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16002095MMMA
794,5,2016-06-14 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002095MMMA
795,6,2016-04-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002095MMMA
796,0,2017-02-14 08:30:00,CIVIL PRETRIAL CONFERENCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,16002190SC
797,1,2016-12-13 08:45:00,CIVIL PRETRIAL CONFERENCE,"CAMPBELL, TIMOTHY CRAIG",,Not Assigned,16002190SC
798,0,2016-11-03 13:30:00,PRE TRIAL CONFERENCE,"GRAMMER, JOE",,PLED PRIOR TO COURT,16002251CTMA
799,1,2016-10-11 08:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",,Continued,16002251CTMA
800,2,2016-09-06 08:30:00,TRIAL MANAGEMENT,"GRAMMER, JOE",,Continued,16002251CTMA
801,3,2016-08-16 10:30:00,PRE TRIAL CONFERENCE,"GRAMMER, JOE",,Continued,16002251CTMA
802,4,2016-07-11 13:00:00,ARRAIGNMENT,"GRAMMER, JOE",,Continued,16002251CTMA
803,0,2016-07-13 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,Failed To Appear,16002280CTMA
804,0,2016-08-11 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,PLED PRIOR TO COURT,16002338CTMA
805,1,2016-07-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002338CTMA
806,2,2016-07-03 09:00:00,FIRST APPEARANCE,"GRAMMER, JOE",,Not Assigned,16002338CTMA
807,0,2016-04-11 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Failed To Appear,16002352MMMO
808,0,2016-09-01 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,PLED PRIOR TO COURT,16002399MMMA
809,1,2016-07-07 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002399MMMA
810,2,2016-06-16 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002399MMMA
811,3,2016-04-11 13:00:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002399MMMA
812,0,2016-08-22 08:30:00,JURY TRIAL,"GRAMMER, JOE",,DISPOSED D,16002459MMMO
813,1,2016-06-21 08:30:00,PRE TRIAL CONFERENCE,"GRAMMER, JOE",,Continued,16002459MMMO
814,2,2016-04-18 13:00:00,ARRAIGNMENT,"GRAMMER, JOE",,Continued,16002459MMMO
815,0,2016-04-20 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,Failed To Appear,16002464MMMA
816,0,2016-07-15 08:30:00,ARRAIGNMENT,"GRAMMER, JOE",,PLED PRIOR TO COURT,16002487CTMA
817,1,2016-07-14 14:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Pre Trial,16002487CTMA
818,0,2016-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,PLED PRIOR TO COURT,16002492CTMA
819,1,2016-07-29 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002492CTMA
820,0,2016-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,PLED PRIOR TO COURT,16002493CTMA
821,1,2016-07-29 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002493CTMA
822,0,2016-07-18 13:00:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG",,PLED PRIOR TO COURT,16002499CTMA
823,1,2016-07-15 14:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Pre Trial,16002499CTMA
824,0,2016-06-23 13:30:00,PRE TRIAL CONFERENCE,"CAMPBELL, TIMOTHY CRAIG",,DISPOSED D,16002519MMMA
825,1,2016-04-25 13:00:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG",,Continued,16002519MMMA
826,0,2017-01-24 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,PLED PRIOR TO COURT,16002522MMMO
827,1,2016-11-29 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002522MMMO
828,2,2016-10-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002522MMMO
829,3,2016-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002522MMMO
830,4,2016-08-09 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002522MMMO
831,5,2016-06-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002522MMMO
832,6,2016-06-14 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002522MMMO
833,7,2016-04-06 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002522MMMO
834,8,2016-04-03 09:00:00,FIRST APPEARANCE,"OVERSTREET, MICHAEL C",COURTHOUSE 2ND FLOOR - WEST,Not Assigned,16002522MMMO
835,0,2019-08-14 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG","COUNTY COURTROOM, BAY COUNTY COURTHOUSE 300 E 4TH STREET",DISPOSED D,16002556CTMA
836,1,2019-08-12 14:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Not Assigned,16002556CTMA
837,2,2016-07-22 08:30:00,ARRAIGNMENT,"CAMPBELL, TIMOTHY CRAIG",,PLED PRIOR TO COURT,16002556CTMA
838,3,2016-07-20 14:00:00,FIRST APPEARANCE,"GRAMMER, JOE",MINI COURTROOM 2ND FLOOR,Pre Trial,16002556CTMA
839,0,2019-02-25 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,PLED PRIOR TO COURT,16002705MMMA
840,1,2018-12-20 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
841,2,2018-10-29 08:00:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
842,3,2018-10-04 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
843,4,2018-08-13 08:00:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
844,5,2018-05-10 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
845,6,2018-03-15 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
846,7,2018-02-22 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
847,8,2018-01-18 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
848,9,2017-12-21 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
849,10,2017-11-16 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
850,11,2017-09-28 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
851,12,2017-08-03 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
852,13,2017-07-13 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
853,14,2017-05-18 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
854,15,2017-04-24 08:30:00,JURY TRIAL,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
855,16,2017-02-16 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
856,17,2017-01-26 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",COURTHOUSE 2ND FLOOR - EAST,Continued,16002705MMMA
857,18,2016-12-15 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002705MMMA
858,19,2016-10-27 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002705MMMA
859,20,2016-09-01 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002705MMMA
860,21,2016-07-07 09:00:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002705MMMA
861,22,2016-06-16 09:00:00,PRE TRIAL CONFERENCE,"VANN, SHANE",,Continued,16002705MMMA
862,23,2016-04-13 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002705MMMA
863,24,2016-04-09 08:00:00,FIRST APPEARANCE,"FENSOM, JAMES B",,Not Assigned,16002705MMMA
864,0,2016-11-07 08:30:00,JURY TRIAL,"VANN, SHANE",,Pre Trial,16002711MMMA
865,1,2016-09-01 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002711MMMA
866,2,2016-07-07 13:30:00,TRIAL MANAGEMENT,"VANN, SHANE",,Continued,16002711MMMA
867,3,2016-07-05 13:30:00,MOTION HEARING,"VANN, SHANE",,Not Assigned,16002711MMMA
868,4,2016-06-16 13:30:00,PRETRIAL CONFERENCE,"VANN, SHANE",,Continued,16002711MMMA
869,5,2016-04-13 08:30:00,ARRAIGNMENT,"VANN, SHANE",,Continued,16002711MMMA
870,6,2016-04-09 08:00:00,FIRST APPEARANCE,"FENSOM, JAMES B",,Not Assigned,16002711MMMA
871,0,2017-02-23 08:30:00,PRETRIAL,"GRAMMER, JOE",COURTHOUSE 2ND FLOOR - WEST,Failed To Appear,16002829MMMA
872,1,2016-12-29 08:30:00,PRE TRIAL CONFERENCE,"GRAMMER, JOE",,Continued,16002829MMMA
873,2,2016-11-03 08:30:00,PRE TRIAL CONFERENCE,"GRAMMER, JOE",,Continued,16002829MMMA
